name, <25k, 25k-45k, 45k-75k, 75k>
Chicago,300788,199649,332505,200080
Rogers Park,15752,9930,14534,6582
West Ridge,12512,10750,16282,8974
Uptown,22164,9852,16608,11002
Lincoln Square,7258,6292,13316,8438
North Center,3852,3676,9914,12008
Lake View,17568,16588,37174,37044
Lincoln Park,11624,7284,17876,28052
Near North Side,19048,9918,29952,37700
Edison Park,1370,1258,3648,3102
Norwood Park,5188,5104,11774,7846
Jefferson Park,4058,3562,7358,5154
Forest Glen,1730,1502,4346,6020
North Park,3672,1924,4320,3082
Albany Park,9612,6558,11688,5464
Portage Park,10018,10102,17246,7978
Irving Park,8018,8908,14840,8222
Dunning,5968,4802,13212,6812
Montclare,2306,1916,3208,1442
Belmont Cragin,12096,10770,16188,4898
Hermosa,3576,3806,5182,1360
Avondale,6904,6276,9938,4164
Logan Square,14526,13314,19268,13132
Humboldt Park,14918,7904,8744,2458
West Town,16656,11636,23624,21744
Austin,26950,14820,18900,6020
West Garfield Park,6410,2682,2466,586
East Garfield Park,6796,2720,3006,898
Near West Side,13896,5134,14502,13736
North Lawndale,10738,5056,5422,1042
South Lawndale,11688,8628,9150,2108
Lower West Side,8606,6718,6784,1626
Loop,3636,2426,7464,9402
Near South Side,4072,2016,6428,7852
Armour Square,4866,1876,2462,1016
Douglas,7422,3508,5298,1966
Oakland,8964,2988,5016,2136
Fuller Park,1416,560,244,18
Grand Boulevard,8964,2988,5016,2136
Kenwood,7034,3228,4726,3656
Washington Park,4304,1692,1422,436
Hyde Park,8032,4522,7294,5370
Woodlawn,9456,4336,4662,2014
South Shore,20898,10196,10922,2778
Chatham,12558,6230,8094,3172
Avalon Park,2254,1676,3110,1144
South Chicago,9530,5546,6588,1530
Burnside,1010,394,794,98
Calumet Heights,2442,2218,4610,2390
Roseland,10870,6816,11380,3296
Pullman,1974,1554,2454,332
South Deering,3978,2136,3626,930
East Side,4186,3430,4822,1854
West Pullman,6756,4406,6652,2282
Riverdale,2768,616,626,68
Hegewisch,1822,1724,2652,1462
Garfield Ridge,4590,3998,10208,5460
Archer Heights,1556,2274,2630,818
Brighton Park,7276,6166,8040,1870
Mckinley Park,2766,2556,3734,980
Bridgeport,7380,5294,8112,3220
New City,9488,6420,6738,1726
West Elsdon,1532,2884,4208,1196
Gage Park,4724,5790,6612,1192
Clearing,3272,3294,7598,2940
West Lawn,4198,4408,7620,1878
Chicago Lawn,9972,8296,10570,2610
West Englewood,10076,5680,4940,652
Englewood,12924,3790,4468,1052
Greater Grand Crossing,12092,5584,7450,1900
Ashburn,3976,5106,11208,5700
Auburn Gresham,13804,7590,10814,3190
Beverly,1932,1704,5918,6492
Washington Heights,5676,4988,6552,2416
Mount Greenwood,1282,1562,5990,4594
Morgan Park,3940,2696,5510,3862
Ohare,2152,3074,5288,1416
Edgewater,18514,11954,18234,10396
