City Id, lessthan25000, 25000-45000, 45000-75000, 75000-200000
0,300788,199649,332505,200080
1,15752,9930,14534,6582
2,12512,10750,16282,8974
3,22164,9852,16608,11002
4,7258,6292,13316,8438
5,3852,3676,9914,12008
6,17568,16588,37174,37044
7,11624,7284,17876,28052
8,19048,9918,29952,37700
9,1370,1258,3648,3102
10,5188,5104,11774,7846
11,4058,3562,7358,5154
12,1730,1502,4346,6020
13,3672,1924,4320,3082
14,9612,6558,11688,5464
15,10018,10102,17246,7978
16,8018,8908,14840,8222
17,5968,4802,13212,6812
18,2306,1916,3208,1442
19,12096,10770,16188,4898
20,3576,3806,5182,1360
21,6904,6276,9938,4164
22,14526,13314,19268,13132
23,14918,7904,8744,2458
24,16656,11636,23624,21744
25,26950,14820,18900,6020
26,6410,2682,2466,586
27,6796,2720,3006,898
28,13896,5134,14502,13736
29,10738,5056,5422,1042
30,11688,8628,9150,2108
31,8606,6718,6784,1626
32,3636,2426,7464,9402
33,4072,2016,6428,7852
34,4866,1876,2462,1016
35,7422,3508,5298,1966
36,8964,2988,5016,2136
37,1416,560,244,18
38,8964,2988,5016,2136
39,7034,3228,4726,3656
40,4304,1692,1422,436
41,8032,4522,7294,5370
42,9456,4336,4662,2014
43,20898,10196,10922,2778
44,12558,6230,8094,3172
45,2254,1676,3110,1144
46,9530,5546,6588,1530
47,1010,394,794,98
48,2442,2218,4610,2390
49,10870,6816,11380,3296
50,1974,1554,2454,332
51,3978,2136,3626,930
52,4186,3430,4822,1854
53,6756,4406,6652,2282
54,2768,616,626,68
55,1822,1724,2652,1462
56,4590,3998,10208,5460
57,1556,2274,2630,818
58,7276,6166,8040,1870
59,2766,2556,3734,980
60,7380,5294,8112,3220
61,9488,6420,6738,1726
62,1532,2884,4208,1196
63,4724,5790,6612,1192
64,3272,3294,7598,2940
65,4198,4408,7620,1878
66,9972,8296,10570,2610
67,10076,5680,4940,652
68,12924,3790,4468,1052
69,12092,5584,7450,1900
70,3976,5106,11208,5700
71,13804,7590,10814,3190
72,1932,1704,5918,6492
73,5676,4988,6552,2416
74,1282,1562,5990,4594
75,3940,2696,5510,3862
76,2152,3074,5288,1416
77,18514,11954,18234,10396
